Date,Close/Last,Volume,Open,High,Low
07/13/2020,131.62,6641270,134.51,136.50,131.25
07/10/2020,133.31,6456353,131.82,133.41,130.95
07/09/2020,131.74,3112394,132.35,132.44,129.62
07/08/2020,131.89,2739961,130.73,131.92,130.12
07/07/2020,130.50,3446631,131.96,132.38,130.28
07/06/2020,132.58,3557949,131.44,132.64,131.11
07/02/2020,129.51,3664259,130.94,131.65,129.18
07/01/2020,129.00,5586407,127.89,129.53,127.79
06/30/2020,127.71,3364938,126.00,128.295,125.613
06/29/2020,126.10,3911330,124.30,126.20,122.93
06/26/2020,123.75,5748505,126.68,126.95,123.54
06/25/2020,126.72,4884674,126.02,126.86,124.77
06/24/2020,126.55,5981477,128.63,129.09,124.98
06/23/2020,129.40,3673804,129.77,130.21,129.01
06/22/2020,128.39,2837884,126.87,128.50,126.30
06/19/2020,127.38,6691951,129.99,130.24,126.97
06/18/2020,128.38,2766752,128.35,129.07,127.80
06/17/2020,128.85,3175214,129.73,130.17,128.53
06/16/2020,129.19,5083444,130.38,130.54,126.59
06/15/2020,126.53,4996497,122.59,126.93,121.92
06/12/2020,125.34,5994757,127.44,127.88,122.80
06/11/2020,124.11,6867784,126.77,128.66,123.81
06/10/2020,130.97,3892230,132.73,132.75,130.83
06/09/2020,132.21,4344916,132.08,132.95,131.24
06/08/2020,133.25,3502454,132.01,133.30,132.01
06/05/2020,131.25,5844661,131.23,131.9887,130.58
06/04/2020,128.18,4985779,128.53,129.31,127.50
06/03/2020,128.83,5531065,127.06,129.23,127.06
06/02/2020,126.44,4226686,125.93,126.44,125.28
06/01/2020,125.37,3331277,124.34,125.82,124.24
05/29/2020,124.19,6507996,123.70,124.64,122.75
05/28/2020,123.74,3646981,125.63,126.08,123.405
05/27/2020,125.26,5765629,124.62,125.28,122.10
05/26/2020,123.15,4564260,124.44,124.75,122.97
05/22/2020,121.23,3821024,121.36,121.56,120.30
05/21/2020,121.41,4558596,121.28,122.07,119.94
05/20/2020,120.98,3854136,121.39,121.4188,120.23
05/19/2020,119.42,5256835,119.59,121.41,119.13
05/18/2020,119.85,5117037,118.64,120.398,118.52
05/15/2020,115.48,6278256,113.22,115.50,112.84
05/14/2020,114.15,5718373,111.09,114.20,110.06
05/13/2020,112.47,6681084,114.27,114.92,111.35
05/12/2020,114.44,5972398,117.50,117.77,114.38
05/11/2020,117.00,4043612,116.24,117.96,116.08
05/08/2020,117.26,3936588,116.49,117.37,115.85
05/07/2020,115.02,5333595,114.65,115.59,114.5975
05/06/2020,113.24,3905014,114.00,114.48,113.075
05/05/2020,113.26,4546841,114.35,114.69,113.02
05/04/2020,112.85,4606904,110.76,112.90,110.12
05/01/2020,112.24,6276608,113.02,113.94,111.37
04/30/2020,116.60,5053528,116.48,117.30,115.3988
04/29/2020,117.33,4998795,117.03,118.21,116.38
04/28/2020,114.80,4729440,116.49,116.90,114.22
04/27/2020,114.35,4119671,113.40,115.09,113.29
04/24/2020,112.25,2914498,111.52,112.75,110.495
04/23/2020,110.38,4129555,110.96,112.02,109.98
04/22/2020,110.41,3385690,110.09,111.18,109.47
04/21/2020,108.08,4327909,109.11,109.83,107.24
04/20/2020,110.96,3413066,111.70,113.19,110.7701
04/17/2020,112.93,4383922,112.36,113.20,110.97
04/16/2020,109.69,4609191,108.84,111.00,107.80
04/15/2020,108.39,3808761,108.07,109.14,107.08
04/14/2020,110.82,5744700,108.88,111.03,108.37
04/13/2020,106.65,3411719,106.26,107.05,104.65
04/09/2020,106.68,5322906,106.30,108.44,105.6517
04/08/2020,104.79,4165482,102.83,105.21,102.09
04/07/2020,101.59,7009093,104.73,105.505,101.37
04/06/2020,100.10,5303916,95.79,100.63,95.79
04/03/2020,92.41,5180054,93.48,93.95,91.23
04/02/2020,94.05,5998824,93.15,95.48,91.98
04/01/2020,93.70,6758401,94.35,95.95,92.87
03/31/2020,98.08,5152333,99.23,100.69,97.82
03/30/2020,100.10,6660260,98.64,100.49,96.925
03/27/2020,98.05,5131145,98.36,100.64,96.89
03/26/2020,101.45,6495561,98.48,102.10,98.01
03/25/2020,97.42,9998946,97.44,101.07,95.03
03/24/2020,95.74,10373690,92.34,95.895,91.95
03/23/2020,87.53,7654169,86.86,89.31,84.66
03/20/2020,87.81,12891720,91.56,94.47,87.66
03/19/2020,90.50,7442125,87.08,93.06,84.19
03/18/2020,87.45,13828880,86.82,89.12,81.7378
03/17/2020,92.78,13567050,91.34,94.73,86.245
03/16/2020,89.34,8408900,91.05,95.85,88.64
03/13/2020,102.30,8037076,101.60,102.37,95.97
03/12/2020,96.34,9980826,99.07,102.67,95.25
03/11/2020,107.17,7627558,110.27,110.82,106.14
03/10/2020,113.37,10969640,111.21,113.37,107.37
03/09/2020,107.43,8414870,106.08,110.70,103.50
03/06/2020,114.65,8327470,112.89,115.27,112.17
03/05/2020,116.44,7299838,118.06,118.83,115.54
03/04/2020,120.95,7342410,118.74,121.05,117.45
03/03/2020,116.91,14774260,120.16,121.74,115.80
03/02/2020,119.81,9511225,116.18,119.82,114.55
02/28/2020,115.83,20617110,112.80,116.00,112.53
02/27/2020,116.58,17717160,119.00,121.48,116.52
02/26/2020,121.49,12360390,123.19,124.33,121.18
02/25/2020,122.46,14609930,126.92,127.19,122.17
02/24/2020,125.82,8753592,125.88,127.04,125.20
02/21/2020,130.30,6161330,131.74,131.88,129.96
02/20/2020,132.32,5416369,132.16,132.68,130.69
02/19/2020,132.27,2318071,132.15,132.73,132.08
02/18/2020,131.68,3370054,131.50,132.11,130.95
02/14/2020,131.69,2479787,132.14,132.30,131.33
02/13/2020,131.89,3553398,131.60,132.38,131.23
02/12/2020,132.12,3905516,131.43,132.192,131.41
02/11/2020,130.78,5507862,130.29,131.34,129.97
02/10/2020,129.76,2933621,128.21,129.77,128.21
02/07/2020,128.31,3633784,128.29,128.9199,127.79
02/06/2020,128.87,5519882,129.45,129.48,128.87
02/05/2020,129.16,6677013,129.36,129.5157,128.26
02/04/2020,128.51,8348620,128.06,128.94,127.77
02/03/2020,126.21,8082244,126.02,127.77,126.01
01/31/2020,125.32,8422254,127.56,127.73,125.06
01/30/2020,125.00,5230465,124.23,125.13,123.98
01/29/2020,125.21,2930064,125.69,126.18,125.12
01/28/2020,125.28,5907730,124.67,125.75,124.19
01/27/2020,124.07,7877101,123.23,124.71,122.99
01/24/2020,125.95,5690930,127.98,128.05,125.40
01/23/2020,127.73,3995908,126.89,127.89,126.24
01/22/2020,127.54,3965084,128.07,128.53,127.4302
01/21/2020,127.60,4001934,127.34,127.79,126.92
01/17/2020,127.99,6736581,127.88,128.17,127.73
01/16/2020,127.54,4349534,127.14,127.56,127.03
01/15/2020,126.41,3261867,126.35,126.85,126.10
01/14/2020,126.70,4340641,126.54,127.105,126.34
01/13/2020,126.74,3224515,126.60,126.94,126.24
01/10/2020,126.34,3703568,127.19,127.19,126.21
01/09/2020,127.03,3821496,127.03,127.49,126.71
01/08/2020,126.36,4725972,125.87,127.05,125.75
01/07/2020,125.98,9151127,126.10,126.27,125.45
01/06/2020,126.18,6411570,124.91,126.21,124.75
01/03/2020,125.83,5596424,125.30,126.20,125.22
01/02/2020,126.91,6290687,126.21,126.91,125.72
12/31/2019,125.42,1783733,125.03,125.48,124.85
12/30/2019,125.24,3338723,126.16,126.2999,124.97
12/27/2019,126.05,2958904,126.47,126.73,125.89
12/26/2019,126.06,2517945,124.91,126.06,124.775
12/24/2019,124.54,1648079,124.43,124.69,124.2601
12/23/2019,124.26,3164156,124.82,124.8399,124.26
12/20/2019,124.55,3336820,124.83,124.83,124.40
12/19/2019,124.77,3246544,124.29,124.87,124.115
12/18/2019,124.38,2639175,124.60,124.71,124.15
12/17/2019,124.26,3409613,123.92,124.42,123.87
12/16/2019,123.71,3646828,123.81,124.00,123.51
12/13/2019,123.17,3562464,123.05,123.38,122.54
12/12/2019,123.06,4613189,122.21,123.36,122.06
12/11/2019,121.99,2049670,121.59,122.06,121.36
12/10/2019,121.68,2179953,121.93,122.16,121.51
12/09/2019,121.89,2149393,121.65,122.325,121.50
12/06/2019,121.74,2515613,121.66,122.04,121.65
12/05/2019,120.77,2352313,121.34,121.34,120.51
12/04/2019,120.89,2829149,120.69,121.32,120.63
12/03/2019,120.22,4525809,120.36,120.4217,119.55
12/02/2019,121.44,3594792,122.54,122.6644,121.185
11/29/2019,122.45,1755092,123.33,123.39,122.32
11/27/2019,123.25,4213043,122.58,123.295,122.43
11/26/2019,122.20,3774556,121.33,122.28,121.2306
11/25/2019,121.37,3814210,120.86,121.39,120.7709
11/22/2019,120.31,2385165,119.96,120.35,119.72
11/21/2019,119.49,2587194,120.27,120.49,119.4401
11/20/2019,120.17,4428263,120.78,120.97,119.60
11/19/2019,120.45,3164538,121.36,121.43,120.15
